,Amostra,x1,x2,x3,y_T1,y_T2,y_T3,y_T4,y_T5
0,1,-0.3665,0.062,5.9891,-1.0,-1.0,-1.0,-1.0,-1.0
1,2,-0.7842,1.1267,5.5912,1.0,1.0,1.0,1.0,1.0
2,3,0.3012,0.5611,5.8234,1.0,1.0,1.0,1.0,1.0
3,4,0.7757,1.0648,8.0677,1.0,1.0,1.0,1.0,1.0
4,5,0.157,0.8028,6.304,1.0,1.0,1.0,1.0,1.0
5,6,-0.7014,1.0316,3.6005,1.0,1.0,1.0,1.0,1.0
6,7,0.3748,0.1536,6.1537,-1.0,-1.0,-1.0,-1.0,-1.0
7,8,-0.692,0.9404,4.4058,1.0,1.0,1.0,1.0,1.0
8,9,-1.397,0.7141,4.9263,-1.0,-1.0,-1.0,-1.0,-1.0
9,10,-1.8842,-0.2805,1.2548,-1.0,-1.0,-1.0,-1.0,-1.0
